year,abbr,pres_margin,pres_margin_str,relative_margin,relative_margin_str,national_margin,national_margin_str,electoral_votes
1948,SD,-0.0485151877850742,R+4.9,-0.0852383679059248,R+8.5,0.0367231801208505,D+3.7,4
1952,SD,-0.3854487007404437,R+38.5,-0.2678598096598339,R+26.8,-0.1175888910806098,R+11.8,4
1956,SD,-0.1677040193019053,R+16.8,0.0008678142392473,D+0.1,-0.1685718335411526,R+16.9,4
1960,SD,-0.1642712415208475,R+16.4,-0.1641080134517071,R+16.4,-0.0001632280691403,R+0.0,4
1964,SD,0.1122483095545138,D+11.2,-0.1043019445044438,R+10.4,0.2165502540589577,D+21.7,4
1968,SD,-0.1187841591255263,R+11.9,-0.0952313523025752,R+9.5,-0.0235528068229511,R+2.4,4
1972,SD,-0.0865834913403454,R+8.7,0.1639257598047024,D+16.4,-0.2505092511450479,R+25.1,4
1976,SD,-0.0148606873360953,R+1.5,-0.0376076708909541,R+3.8,0.0227469835548588,D+2.3,4
1980,SD,-0.3126691771619931,R+31.3,-0.2095180017735466,R+21.0,-0.1031511753884464,R+10.3,4
1984,SD,-0.2659902648713572,R+26.6,-0.0835232410308632,R+8.4,-0.1824670238404939,R+18.2,3
1988,SD,-0.0638475761717179,R+6.4,0.0128015296056285,D+1.3,-0.0766491057773465,R+7.7,3
1992,SD,-0.0452206753667729,R+4.5,-0.1176345921298467,R+11.8,0.0724139167630737,D+7.2,3
1996,SD,-0.0386717079026894,R+3.9,-0.1347521884196935,R+13.5,0.096080480517004,D+9.6,3
2000,SD,-0.2322942514474772,R+23.2,-0.2374277098169578,R+23.7,0.0051334583694805,D+0.5,3
2004,SD,-0.2182658160218737,R+21.8,-0.1936055158983261,R+19.4,-0.0246603001235475,R+2.5,3
2008,SD,-0.0859141446823075,R+8.6,-0.1613294902539129,R+16.1,0.0754153455716054,D+7.5,3
2012,SD,-0.1843699827639048,R+18.4,-0.2245678487483534,R+22.5,0.0401978659844485,D+4.0,3
2016,SD,-0.319437161588625,R+31.9,-0.3426884413953462,R+34.3,0.0232512798067211,D+2.3,3
2020,SD,-0.2686955972336299,R+26.9,-0.3140553396562039,R+31.4,0.0453597424225739,D+4.5,3
2024,SD,-0.2989019907385306,R+29.9,-0.2839052993043304,R+28.4,-0.0149966914342001,R+1.5,3
2028,SD,-0.16963013787649034,R+17.0,-0.20375932113307726,R+20.4,0.03412918325658693,D+3.4,3
2032,SD,-0.20546700711054688,R+20.5,-0.22139324729620288,R+22.1,0.015926240185656002,D+1.6,3
2036,SD,-0.11963721176517576,R+12.0,-0.1260027713407435,R+12.6,0.006365559575567741,D+0.6,3
2040,SD,-0.16121292405856416,R+16.1,-0.16593910544649304,R+16.6,0.004726181387928875,D+0.5,3
2044,SD,-0.27998877093568847,R+28.0,-0.23892027623288495,R+23.9,-0.04106849470280351,R+4.1,3
1936,TN,0.3812539194219631,D+38.1,0.132072853422218,D+13.2,0.249181065999745,D+24.9,11
1940,TN,0.3503535258490573,D+35.0,0.2503823893159185,D+25.0,0.0999711365331388,D+10.0,11
1944,TN,0.2129512119414244,D+21.3,0.1489638562842459,D+14.9,0.0639873556571785,D+6.4,12
1948,TN,0.1425855031311005,D+14.3,0.10586232301025,D+10.6,0.0367231801208505,D+3.7,12
1952,TN,-0.0027386422762309,R+0.3,0.1148502488043789,D+11.5,-0.1175888910806098,R+11.8,11
1956,TN,-0.0062919367214667,R+0.6,0.1622798968196859,D+16.2,-0.1685718335411526,R+16.9,11
1960,TN,-0.0723717040933306,R+7.2,-0.0722084760241902,R+7.2,-0.0001632280691403,R+0.0,11
1964,TN,0.1101325976124037,D+11.0,-0.1064176564465539,R+10.6,0.2165502540589577,D+21.7,11
1968,TN,-0.1473116256486511,R+14.7,-0.1237588188256999,R+12.4,-0.0235528068229511,R+2.4,11
1972,TN,-0.3894723351901848,R+38.9,-0.1389630840451369,R+13.9,-0.2505092511450479,R+25.1,10
1976,TN,0.1314588916106334,D+13.1,0.1087119080557746,D+10.9,0.0227469835548588,D+2.3,10
1980,TN,-0.0029984492097081,R+0.3,0.1001527261787383,D+10.0,-0.1031511753884464,R+10.3,10
1984,TN,-0.1636369618890598,R+16.4,0.0188300619514341,D+1.9,-0.1824670238404939,R+18.2,11
1988,TN,-0.1643728100394154,R+16.4,-0.0877237042620689,R+8.8,-0.0766491057773465,R+7.7,11
1992,TN,0.0519607329415191,D+5.2,-0.0204531838215545,R+2.0,0.0724139167630737,D+7.2,11
1996,TN,0.025732846837211,D+2.6,-0.0703476336797929,R+7.0,0.096080480517004,D+9.6,11
2000,TN,-0.0392573357035801,R+3.9,-0.0443907940730607,R+4.4,0.0051334583694805,D+0.5,11
2004,TN,-0.1437089090948145,R+14.4,-0.1190486089712669,R+11.9,-0.0246603001235475,R+2.5,11
2008,TN,-0.1526294360470892,R+15.3,-0.2280447816186947,R+22.8,0.0754153455716054,D+7.5,11
2012,TN,-0.2070214305258809,R+20.7,-0.2472192965103295,R+24.7,0.0401978659844485,D+4.0,11
2016,TN,-0.2724868609052397,R+27.2,-0.295738140711961,R+29.6,0.0232512798067211,D+2.3,11
2020,TN,-0.236555407441327,R+23.7,-0.281915149863901,R+28.2,0.0453597424225739,D+4.5,11
2024,TN,-0.3012109965499333,R+30.1,-0.2862143051157332,R+28.6,-0.0149966914342001,R+1.5,11
2028,TN,-0.15927706950953835,R+15.9,-0.19340625276612528,R+19.3,0.03412918325658693,D+3.4,11
2032,TN,-0.09328189020583706,R+9.3,-0.10920813039149306,R+10.9,0.015926240185656002,D+1.6,11
2036,TN,-0.021583212051411976,R+2.2,-0.02794877162697972,R+2.8,0.006365559575567741,D+0.6,11
2040,TN,-0.12685120122882002,R+12.7,-0.1315773826167489,R+13.2,0.004726181387928875,D+0.5,11
2044,TN,-0.34720770407762674,R+34.7,-0.30613920937482325,R+30.6,-0.04106849470280351,R+4.1,11
1936,TX,0.7521681527516152,D+75.2,0.5029870867518702,D+50.3,0.249181065999745,D+24.9,23
1940,TX,0.6210947868733889,D+62.1,0.5211236503402501,D+52.1,0.0999711365331388,D+10.0,23
1944,TX,0.6220743709465663,D+62.2,0.5580870152893876,D+55.8,0.0639873556571785,D+6.4,23
1948,TX,0.4617957580992141,D+46.2,0.4250725779783635,D+42.5,0.0367231801208505,D+3.7,23
1952,TX,-0.0644995960631357,R+6.4,0.053089295017474,D+5.3,-0.1175888910806098,R+11.8,24
1956,TX,-0.1137089638803304,R+11.4,0.0548628696608222,D+5.5,-0.1685718335411526,R+16.9,24
1960,TX,0.020209473903578,D+2.0,0.0203727019727184,D+2.0,-0.0001632280691403,R+0.0,24
1964,TX,0.268758932484435,D+26.9,0.0522086784254773,D+5.2,0.2165502540589577,D+21.7,25
1968,TX,0.0156174338022839,D+1.6,0.0391702406252351,D+3.9,-0.0235528068229511,R+2.4,25
1972,TX,-0.3314633699246522,R+33.1,-0.0809541187796042,R+8.1,-0.2505092511450479,R+25.1,26
1976,TX,0.0319700645675421,D+3.2,0.0092230810126833,D+0.9,0.0227469835548588,D+2.3,26
1980,TX,-0.1433468158763091,R+14.3,-0.0401956404878627,R+4.0,-0.1031511753884464,R+10.3,26
1984,TX,-0.2757261034602683,R+27.6,-0.0932590796197743,R+9.3,-0.1824670238404939,R+18.2,29
1988,TX,-0.1269266586227453,R+12.7,-0.0502775528453987,R+5.0,-0.0766491057773465,R+7.7,29
1992,TX,-0.0448432633177099,R+4.5,-0.1172571800807837,R+11.7,0.0724139167630737,D+7.2,32
1996,TX,-0.0532124676424454,R+5.3,-0.1492929481594495,R+14.9,0.096080480517004,D+9.6,32
2000,TX,-0.2191254029712588,R+21.9,-0.2242588613407393,R+22.4,0.0051334583694805,D+0.5,32
2004,TX,-0.2302038379421983,R+23.0,-0.2055435378186508,R+20.6,-0.0246603001235475,R+2.5,34
2008,TX,-0.1187187350188144,R+11.9,-0.1941340805904198,R+19.4,0.0754153455716054,D+7.5,34
2012,TX,-0.1601579443021276,R+16.0,-0.2003558102865762,R+20.0,0.0401978659844485,D+4.0,38
2016,TX,-0.0942645115594397,R+9.4,-0.1175157913661609,R+11.8,0.0232512798067211,D+2.3,38
2020,TX,-0.0566144247355906,R+5.7,-0.1019741671581645,R+10.2,0.0453597424225739,D+4.5,38
2024,TX,-0.1387806780161845,R+13.9,-0.1237839865819844,R+12.4,-0.0149966914342001,R+1.5,40
2028,TX,-0.06796242556769533,R+6.8,-0.10209160882428225,R+10.2,0.03412918325658693,D+3.4,40
2032,TX,0.08274856696146549,D+8.3,0.06682232677580949,D+6.7,0.015926240185656002,D+1.6,40
2036,TX,0.04806671597782622,D+4.8,0.04170115640225848,D+4.2,0.006365559575567741,D+0.6,40
2040,TX,-0.09746610047941714,R+9.7,-0.10219228186734602,R+10.2,0.004726181387928875,D+0.5,40
2044,TX,-0.2970007082539536,R+29.7,-0.2559322135511501,R+25.6,-0.04106849470280351,R+4.1,40
1936,UT,0.3989320347670634,D+39.9,0.1497509687673184,D+15.0,0.249181065999745,D+24.9,4
1940,UT,0.2470456051861551,D+24.7,0.1470744686530163,D+14.7,0.0999711365331388,D+10.0,4
1944,UT,0.2104895979095004,D+21.0,0.1465022422523218,D+14.7,0.0639873556571785,D+6.4,4
1948,UT,0.0904724130241671,D+9.0,0.0537492329033166,D+5.4,0.0367231801208505,D+3.7,4
1952,UT,-0.1785018540208888,R+17.9,-0.0609129629402789,R+6.1,-0.1175888910806098,R+11.8,4
1956,UT,-0.2912229224988398,R+29.1,-0.1226510889576871,R+12.3,-0.1685718335411526,R+16.9,4
1960,UT,-0.0964018483271891,R+9.6,-0.0962386202580487,R+9.6,-0.0001632280691403,R+0.0,4
1964,UT,0.0972896005595663,D+9.7,-0.1192606534993913,R+11.9,0.2165502540589577,D+21.7,4
1968,UT,-0.2075479333220365,R+20.8,-0.1839951264990854,R+18.4,-0.0235528068229511,R+2.4,4
1972,UT,-0.4386467138002387,R+43.9,-0.1881374626551908,R+18.8,-0.2505092511450479,R+25.1,4
