year,abbr,relative_margin
2040,HI,0.1017170718978647
2044,HI,0.21672258652037138
2048,HI,0.24494332290496265
2052,HI,0.1632765089749874
2056,HI,0.14905936382171886
2060,HI,0.17959934283909587
2064,HI,0.22651100345685535
2068,HI,0.4445650640954346
2072,HI,0.37643911843657496
2076,HI,0.17008289728413203
2080,HI,0.15420326614859522
2084,HI,0.15881729408344736
2088,HI,0.20847438588532116
2092,HI,0.2940239226035614
2096,HI,0.47101684256293347
2100,HI,0.37412320581535063
2024,IA,-0.1194592856617622
2028,IA,-0.024867692485704515
2032,IA,0.006556829141578931
2036,IA,0.027920556655356307
2040,IA,0.072550936803291
2044,IA,-0.004136307064346021
2048,IA,0.014436961075205321
2052,IA,0.00207649595131796
2056,IA,0.04481070548707271
2060,IA,0.026075116217354984
2064,IA,0.01180190080087138
2068,IA,-0.01916449006572392
2072,IA,-0.0311214329489603
2076,IA,-0.035204142312187936
2080,IA,-0.01806420013364725
2084,IA,0.0022172732978256496
2088,IA,0.03730649855136607
2092,IA,-0.02901252550158546
2096,IA,-0.015818310328960847
2100,IA,-0.034452537276631195
2024,ID,-0.3602217203683306
2028,ID,-0.34118923559822095
2032,ID,-0.4187584280107511
2036,ID,-0.3389952683400529
2040,ID,-0.3452394403337026
2044,ID,-0.3333406692492535
2048,ID,-0.4231888850908278
2052,ID,-0.33634961344670133
2056,ID,-0.31115320453947387
2060,ID,-0.3097834590378597
2064,ID,-0.30656347036622417
2068,ID,-0.3251243118623033
2072,ID,-0.21888761504256385
2076,ID,-0.223331456315798
2080,ID,-0.3086235448404349
2084,ID,-0.21747154665177018
2088,ID,-0.466807310134749
2092,ID,-0.44034543128383485
2096,ID,-0.4803536714680568
2100,ID,-0.4544613638480275
2024,IL,0.1263519995996344
2028,IL,0.09005150358907854
2032,IL,0.06413574591731139
2036,IL,0.023138227148474317
2040,IL,0.00744302893064929
2044,IL,0.028636024404542933
2048,IL,0.023193088242855785
2052,IL,0.009615808617263166
2056,IL,0.09137765832187197
2060,IL,0.11600762600980606
2064,IL,0.10227028866307844
2068,IL,0.1046225880247628
2072,IL,0.10739077625983308
2076,IL,0.12807150998483766
2080,IL,0.1389046837422934
2084,IL,0.13763262961143122
2088,IL,0.08978233778576357
2092,IL,0.06971068274268462
2096,IL,0.0991862871181886
2100,IL,0.1373104280295885
2024,IN,-0.1780524252287101
2028,IN,-0.17089705961996376
2032,IN,-0.15314208041712293
2036,IN,-0.1333200406810335
2040,IN,-0.11180891373527761
2044,IN,-0.16061975729618758
2048,IN,-0.1658757527392084
2052,IN,-0.15986019743575328
2056,IN,-0.18097852699520975
2060,IN,-0.18681423459051122
2064,IN,-0.14947090161614163
2068,IN,-0.18523984860881934
2072,IN,-0.18368086127309252
2076,IN,-0.18669616197872174
2080,IN,-0.15684830120069437
2084,IN,-0.1247190343631328
2088,IN,-0.05567834068369689
2092,IN,-0.11260703535263385
2096,IN,-0.15571125711132933
2100,IN,-0.21770562490736534
2024,KS,-0.149118047511303
2028,KS,-0.10377538464719993
2032,KS,-0.13469833666135902
2036,KS,-0.2313979766392863
2040,KS,-0.03702681400058038
2044,KS,-0.16104996573607833
2048,KS,-0.19971137727724161
2052,KS,-0.2634477727137419
2056,KS,-0.1861511050807245
2060,KS,-0.1677321139302215
2064,KS,-0.1762444923123467
2068,KS,-0.16067146461862927
2072,KS,-0.1676045875495335
2076,KS,-0.14408380047471114
2080,KS,-0.14597793269697534
2084,KS,-0.12045310257199235
2088,KS,-0.15297809426148182
2092,KS,-0.16982887979675998
2096,KS,-0.19223052958810327
2100,KS,-0.2517350874486974
2024,KY,-0.2952847288878416
2028,KY,-0.11624833626071426
2032,KY,-0.02137397398398372
2036,KY,-0.015097878805428571
2040,KY,0.029379281605055877
2044,KY,-0.0310452134369347
2048,KY,-0.05777547351464978
2052,KY,-0.07908956195434338
2056,KY,-0.09551999959864084
2060,KY,-0.1441943441275748
2064,KY,-0.15590769510774719
2068,KY,-0.17130117466894562
2072,KY,-0.15799285720734288
2076,KY,-0.19970542462024715
2080,KY,-0.22330258258260713
2084,KY,-0.23376958292042707
2088,KY,-0.2840768174056068
2092,KY,-0.30005268993202333
2096,KY,-0.3523956718922008
2100,KY,-0.2952997794495225
2024,LA,-0.2085735167541185
2028,LA,-0.06664847382075635
2032,LA,-0.04500019609737547
2036,LA,-0.0335308191383341
2040,LA,0.0031893137181084183
2044,LA,0.030879705455440096
2048,LA,-0.023846591861165577
2052,LA,-0.10445005185401288
2056,LA,-0.1322343655055534
2060,LA,-0.1334451022008354
2064,LA,-0.1179067219698332
2068,LA,-0.12520223672446595
2072,LA,-0.13490114230347242
2076,LA,-0.12013482968387196
2080,LA,-0.1479807566598972
2084,LA,-0.18433325304925194
2088,LA,-0.14943120718270952
2092,LA,-0.25099349275376254
2096,LA,-0.21501632759560257
2100,LA,-0.2345054128321394
2024,MA,0.2741030798425853
2028,MA,0.21371448307540727
2032,MA,0.15455024596934375
2036,MA,0.1345912445571003
2040,MA,0.18254685912767588
2044,MA,0.18248012079723658
2048,MA,0.131781557684148
2052,MA,0.20926528849136036
2056,MA,0.20437174009835404
2060,MA,0.2267213335153836
2064,MA,0.2232210916045836
2068,MA,0.21286189549842569
2072,MA,0.2801360421242666
2076,MA,0.26153306071022625
2080,MA,0.3385376522285404
2084,MA,0.26006464175214067
2088,MA,0.27115615248274827
2092,MA,0.2599606217504048
2096,MA,0.25976415491075333
2100,MA,0.30994863668081135
2024,MD,0.3100918319778186
2028,MD,0.2645638309961353
2032,MD,0.16269328211660913
2036,MD,0.08230055054986345
2040,MD,0.13008272888045527
2044,MD,0.16728132276182697
2048,MD,0.12578422466680336
2052,MD,0.1063071902842738
2056,MD,0.13244294406396095
