year,abbr,D_votes,R_votes,house_margin,house_margin_str,relative_margin,relative_margin_str,national_margin,national_margin_str
2014,LA,406186,1031270,-0.43485435380282944,R+43.5,-0.36314652014558924,R+36.3,-0.07170783365724019,R+7.2
2016,LA,530050,1177543,-0.3791846183487517,R+37.9,-0.36452096940061407,R+36.5,-0.014663648948137663,R+1.5
2018,LA,553184,835715,-0.20342083909629138,R+20.3,-0.2778870797269052,R+27.8,0.07446624063061381,D+7.4
2020,LA,727402,1369788,-0.3063079644667388,R+30.6,-0.33444341006585115,R+33.4,0.02813544559911237,D+2.8
2022,LA,318932,773702,-0.4162143956713776,R+41.6,-0.3836609689085906,R+38.4,-0.03255342676278699,R+3.3
1976,MA,1509521,723119,0.35222964741292817,D+35.2,0.2113159523165967,D+21.1,0.14091369509633148,D+14.1
1978,MA,1249311,471755,0.45178743871530785,D+45.2,0.362900687633585,D+36.3,0.08888675108172285,D+8.9
1980,MA,1473289,757927,0.3206153057346308,D+32.1,0.29370113803348535,D+29.4,0.02691416770114545,D+2.7
1982,MA,1300344,561091,0.3971414526964412,D+39.7,0.27638148133787843,D+27.6,0.12075997135856274,D+12.1
1984,MA,1618131,703945,0.39369340193861013,D+39.4,0.34134118366943145,D+34.1,0.052352218269178685,D+5.2
1986,MA,1198143,250385,0.654290424486099,D+65.4,0.553329059850822,D+55.3,0.10096136463527688,D+10.1
1988,MA,1787467,509360,0.5564663773109598,D+55.6,0.4895574980473702,D+49.0,0.06690887926358961,D+6.7
1990,MA,1420422,566923,0.42946695213966374,D+42.9,0.36218216833330574,D+36.2,0.06728478380635798,D+6.7
1992,MA,1518208,856572,0.2786093869747934,D+27.9,0.22526824601300538,D+22.5,0.053341140961788054,D+5.3
1994,MA,1362572,592758,0.3937002961136995,D+39.4,0.4782838806198944,D+47.8,-0.0845835845061949,R+8.5
1996,MA,1584479,780032,0.34021706813797864,D+34.0,0.33825110575061157,D+33.8,0.0019659623873670975,D+0.2
1998,MA,1306281,412508,0.520001582509546,D+52.0,0.5451823601681463,D+54.5,-0.02518077765860024,R+2.5
2000,MA,1967942,343498,0.70278441144914,D+70.3,0.7198937579722251,D+72.0,-0.017109346523085163,R+1.7
2002,MA,1528634,290484,0.6806320425612852,D+68.1,0.7467380845267273,D+74.7,-0.0661060419654421,R+6.6
2004,MA,2059984,435239,0.6511422025205763,D+65.1,0.6920282938557706,D+69.2,-0.04088609133519423,R+4.1
2006,MA,1632307,198550,0.7831070367592882,D+78.3,0.7095988048356952,D+71.0,0.07350823192359303,D+7.4
2008,MA,2245778,318461,0.7516136366383944,D+75.2,0.6533717580068632,D+65.3,0.09824187863153123,D+9.8
2010,MA,1335738,808305,0.24599926400729835,D+24.6,0.3178594711620243,D+31.8,-0.07186020715472592,R+7.2
2012,MA,2080594,697637,0.4977833016764985,D+49.8,0.4933985902682345,D+49.3,0.004384711408263983,D+0.4
2014,MA,1475442,308598,0.65404587341091,D+65.4,0.7257537070681502,D+72.6,-0.07170783365724019,R+7.2
2016,MA,2344518,451121,0.6772680592880554,D+67.7,0.6919317082361931,D+69.2,-0.014663648948137663,R+1.5
2018,MA,1943597,497953,0.5921009194978599,D+59.2,0.5176346788672461,D+51.8,0.07446624063061381,D+7.4
2020,MA,2482596,699001,0.5605973980991307,D+56.1,0.5324619525000183,D+53.2,0.02813544559911237,D+2.8
2022,MA,1636400,706790,0.3967283916370418,D+39.7,0.4292818183998288,D+42.9,-0.03255342676278699,R+3.3
1976,MD,789029,473316,0.25010040836696784,D+25.0,0.10918671327063637,D+10.9,0.14091369509633148,D+14.1
1978,MD,604457,312974,0.31771653672047273,D+31.8,0.2288297856387499,D+22.9,0.08888675108172285,D+8.9
1980,MD,865969,537078,0.2344119619656362,D+23.4,0.20749779426449078,D+20.7,0.02691416770114545,D+2.7
1982,MD,742600,348561,0.36111902826438996,D+36.1,0.2403590569058272,D+24.0,0.12075997135856274,D+12.1
1984,MD,954873,535915,0.2810312398543589,D+28.1,0.22867902158518022,D+22.9,0.052352218269178685,D+5.2
1986,MD,668669,394393,0.2580056478361563,D+25.8,0.15704428320087943,D+15.7,0.10096136463527688,D+10.1
1988,MD,936963,624021,0.20047739118402239,D+20.0,0.1335685119204328,D+13.4,0.06690887926358961,D+6.7
1990,MD,565669,517386,0.04458037680450208,D+4.5,-0.0227044070018559,R+2.3,0.06728478380635798,D+6.7
1992,MD,955952,849779,0.058797794355859204,D+5.9,0.0054566533940711495,D+0.5,0.053341140961788054,D+5.3
1994,MD,662312,682578,-0.015068890392522809,R+1.5,0.06951469411367209,D+7.0,-0.0845835845061949,R+8.5
1996,MD,876658,762163,0.0698642499699479,D+7.0,0.0678982875825808,D+6.8,0.0019659623873670975,D+0.2
1998,MD,802081,668983,0.09047736876165823,D+9.0,0.11565814642025847,D+11.6,-0.02518077765860024,R+2.5
2000,MD,1060934,856306,0.10673050843921471,D+10.7,0.12383985496229988,D+12.4,-0.017109346523085163,R+1.7
2002,MD,904250,752911,0.09132425877751166,D+9.1,0.15743030074295378,D+15.7,-0.0661060419654421,R+6.6
2004,MD,1310870,896232,0.18786535465963966,D+18.8,0.22875144599483388,D+22.9,-0.04088609133519423,R+4.1
2006,MD,1099441,546862,0.3356484195193716,D+33.6,0.26214018759577856,D+26.2,0.07350823192359303,D+7.4
2008,MD,1677238,762539,0.3749109037424322,D+37.5,0.27666902511090097,D+27.7,0.09824187863153123,D+9.8
2010,MD,1104056,674246,0.24169685463998802,D+24.2,0.31355706179471393,D+31.4,-0.07186020715472592,R+7.2
2012,MD,1626872,858406,0.30920725971098606,D+30.9,0.3048225483027221,D+30.5,0.004384711408263983,D+0.4
2014,MD,978267,704400,0.1627576935899973,D+16.3,0.23446552724723752,D+23.4,-0.07170783365724019,R+7.2
2016,MD,1636200,962088,0.25944468049731206,D+25.9,0.2741083294454497,D+27.4,-0.014663648948137663,R+1.5
2018,MD,1493047,737906,0.33848359871319567,D+33.8,0.26401735808258187,D+26.4,0.07446624063061381,D+7.4
2020,MD,1912740,1028150,0.3007898969359616,D+30.1,0.27265445133684924,D+27.3,0.02813544559911237,D+2.8
2022,MD,1291446,690463,0.3032344068269532,D+30.3,0.3357878335897402,D+33.6,-0.03255342676278699,R+3.3
1976,ME,151255,314815,-0.35093440899435707,R+35.1,-0.4918481040906886,R+49.2,0.14091369509633148,D+14.1
1978,ME,141039,208730,-0.19353058733049527,R+19.4,-0.2824173384122181,R+28.2,0.08888675108172285,D+8.9
1980,ME,137845,375073,-0.4625066774806109,R+46.3,-0.4894208451817564,R+48.9,0.02691416770114545,D+2.7
1982,ME,186970,260925,-0.1651168242556849,R+16.5,-0.28587679561424767,R+28.6,0.12075997135856274,D+12.1
1984,ME,162319,374951,-0.3957637686824129,R+39.6,-0.4481159869515916,R+44.8,0.052352218269178685,D+5.2
1986,ME,165462,249030,-0.20161547146868938,R+20.2,-0.30257683610396624,R+30.3,0.10096136463527688,D+10.1
1988,ME,276335,278351,-0.0036344887017159258,R+0.4,-0.07054336796530554,R+7.1,0.06690887926358961,D+6.7
1990,ME,284421,232540,0.10035766721280716,D+10.0,0.03307288340644918,D+3.3,0.06728478380635798,D+6.7
1992,ME,363520,278258,0.13285279333352032,D+13.3,0.07951165237173227,D+8.0,0.053341140961788054,D+5.3
1994,ME,235988,234070,0.004080347531581209,D+0.4,0.0886639320377761,D+8.9,-0.0845835845061949,R+8.5
1996,ME,379184,211210,0.2845116989671304,D+28.5,0.28254573657976334,D+28.3,0.0019659623873670975,D+0.2
1998,ME,280537,124834,0.3840999972864364,D+38.4,0.4092807749450366,D+40.9,-0.02518077765860024,R+2.5
2000,ME,422606,203437,0.3500861761891755,D+35.0,0.36719552271226064,D+36.7,-0.017109346523085163,R+1.7
2002,ME,289514,205780,0.16905918504968767,D+16.9,0.23516522701512976,D+23.5,-0.0661060419654421,R+6.6
2004,ME,418380,283210,0.1926623811627874,D+19.3,0.2335484724979816,D+23.4,-0.04088609133519423,R+4.1
2006,ME,350721,163165,0.36497588959419014,D+36.5,0.2914676576705971,D+29.1,0.07350823192359303,D+7.4
2008,ME,431903,278198,0.21645512398940434,D+21.6,0.1182132453578731,D+11.8,0.09824187863153123,D+9.8
2010,ME,316156,248170,0.12047291813597105,D+12.0,0.19233312529069696,D+19.2,-0.07186020715472592,R+7.2
2012,ME,427819,265982,0.2332614106926914,D+23.3,0.22887669928442742,D+22.9,0.004384711408263983,D+0.4
2014,ME,305242,228071,0.1447011417310285,D+14.5,0.2164089753882687,D+21.6,-0.07170783365724019,R+7.2
2016,ME,386627,357447,0.03921652953872867,D+3.9,0.05388017848686634,D+5.4,-0.014663648948137663,R+1.5
2018,ME,340426,247514,0.1580297309249243,D+15.8,0.0835634902943105,D+8.4,0.07446624063061381,D+7.4
2020,ME,468978,340236,0.1590951219331351,D+15.9,0.13095967633402272,D+13.1,0.02813544559911237,D+2.8
2022,ME,384889,275405,0.16581098722690196,D+16.6,0.19836441398968896,D+19.8,-0.03255342676278699,R+3.3
1976,MI,1898241,1503114,0.11616752735306958,D+11.6,-0.024746167743261896,R+2.5,0.14091369509633148,D+14.1
1978,MI,1538922,1150495,0.14442795594732985,D+14.4,0.055541204865607,D+5.6,0.08888675108172285,D+8.9
1980,MI,1877335,1659101,0.06171015112389988,D+6.2,0.03479598342275443,D+3.5,0.02691416770114545,D+2.7
1982,MI,1669522,1093425,0.20850816175626966,D+20.9,0.08774819039770691,D+8.8,0.12075997135856274,D+12.1
1984,MI,1861442,1566916,0.085908764487256,D+8.6,0.03355654621807731,D+3.4,0.052352218269178685,D+5.2
1986,MI,1342034,977122,0.15734689688835077,D+15.7,0.05638553225307388,D+5.6,0.10096136463527688,D+10.1
1988,MI,1824103,1604946,0.06391188927309001,D+6.4,-0.0029969899904996045,R+0.3,0.06690887926358961,D+6.7
1990,MI,1321449,1089299,0.0962979125151198,D+9.6,0.029013128708761812,D+2.9,0.06728478380635798,D+6.7
