feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7
IL,-0.0006430058751144812,-0.21192941839501686,0.12408441247974022,0.06463424248304941,0.16726457119083224,-0.0136886760654044,-0.12331060324980707
IN,0.2367751453863266,-0.025249005431250617,0.07137020437623817,0.11862004882169482,0.030762067057054938,-0.07916540603840669,-0.07085042911605013
KS,-0.02632300227292359,-0.02961698871291213,0.07638638100416478,0.4024417818753264,0.018014008326769672,0.13971733785640192,0.05052697725478006
KY,0.12072041289163916,0.1542956156917164,0.0037907955769000455,0.05841274623283687,-0.04185434711661548,0.1420187384538927,0.16847952838507488
LA,-0.04076077381897068,0.29361144137850964,0.07526933688283449,-0.15057266512134926,0.07781240150100814,-0.016923874280961978,0.06466151742624758
MA,-0.23540339938047913,0.018393662744914822,0.047006301281057636,0.04123944935758213,-0.12169017533336521,0.22945588040193587,0.02331875622813176
MD,-0.08210893844653586,-0.015434019668558363,-0.07942122723666105,0.21783186545186792,-0.17293405354581587,-0.08386718332730889,0.008894781253898311
ME,0.16010264485448464,0.08672621926670904,-0.1134740542947137,-0.10877608550225706,0.0026982425334464693,0.066449039747832,0.06980074799198736
MI,0.20126774978511905,-0.033547690430967586,-0.11570506461283775,0.13073197259468142,0.04970973016044924,0.009284751079954287,-0.02689722751357019
MN,0.11003295060831197,0.13274960046812911,-0.05370752898562275,-0.10375623143224705,0.011527749552632919,0.12487356822403209,0.07138035110255456
MO,0.11557276115972766,0.09577413518534339,-0.043860175180583875,0.22697125012076858,0.10848658359283918,0.14433931693766203,-0.03622546735633761
MS,-1.2833185692545978e-05,0.15058591865966742,-0.24666921782183415,-0.16859813552677852,-0.005521827915617445,-0.06212928233477348,0.06188557057508983
MT,0.1985501812746646,-0.07239685035056084,0.040286893668407465,-0.09659411323079627,0.002136352756465444,0.09674239569919563,0.026127629396777062
NC,0.11522856308924116,0.04841358645274112,-0.026030867569855048,-0.03259922604333133,0.42046818332512464,-0.12401836358345925,-0.03844061225572532
ND,0.2395505867587326,0.018729481962136838,-0.030783547040178817,-0.028170080795395482,0.014940838189539533,0.022322217756009344,-0.05040868503051536
NE,0.2624131675255181,0.02426879958767381,0.1251279006030811,0.14237895491553337,-0.030085480412729723,-0.044203081121153086,-0.0008143837473662618
NH,0.0699525131583493,-0.004369997152415348,-0.14327626010596783,-0.026231067356526125,-0.09352431752944841,0.3013940449699927,0.001972321658906805
NJ,-0.068223925302335,0.11123548539855412,-0.10826774068837342,0.029709098513661544,-0.17339566587955232,-0.180081012193557,-0.10952646992744723
NM,0.14710461372021932,-0.15231288352871944,0.05782938368671376,-0.021870126486528006,0.11362602288573556,-0.10196225219091772,-0.12355053363318692
NV,0.045841634163887625,-0.23962778558064485,-0.16223531790012974,0.08114013731684808,0.15263778560118785,-0.010304893969633933,-0.0948661064509019
NY,0.014361777409302341,0.06588370531264232,-0.11850073674556195,-0.15841299849976131,-0.03146104428231377,-0.334230520740069,-0.15339849973240283
OH,0.0608284527705361,0.06427520229396581,-0.26290880173030895,-0.03355386364716295,0.17268574100553175,-0.005377226889674828,0.0309339135750336
OK,0.02530982626145018,0.2670250078718353,0.07462900152110082,0.102269842938246,0.04421185535310852,-0.04628165467221039,0.25048715535226684
OR,0.047009212541569,-0.11870560953350412,-0.013292983514893763,-0.01628512045479824,0.21812976457924618,0.21073858010442506,0.0062451308027632515
PA,-0.0007919573973046805,0.006875005012518866,-0.19116690456668492,0.2522520527091437,0.23152507383887957,0.04901430327700202,0.0628528424252468
RI,0.08899992569674799,0.17129657284663904,-0.15452689106068748,0.14181380355212314,-0.1622234490166506,-0.1279521932614151,0.028488253866700466
SC,0.008630238496832629,0.03571604040217154,-0.3080822832124502,-0.10841156232029665,-0.0938426992530568,0.1166375526479118,0.06348410026497021
SD,0.22141322459035792,0.007222238422646873,-0.030491680451251144,-0.0139902783682057,0.020949417325525455,0.07660951819638745,0.02888732104117708
TN,-0.08436261239875556,0.1135010417854446,-0.06661107080994455,0.2777564882936484,-0.06897603345459177,0.06615276398222096,0.1618380802766516
TX,0.009343211210895819,-0.09096516561953275,0.2055920193669308,-0.1960631424055554,-0.14351102904732543,0.08423497719660475,0.1421087854358156
UT,-0.011169509662203852,-0.023229033955523972,0.3566876696559626,-0.026900044205387018,0.09090930302797438,0.08355173532010526,-0.054675761718227175
VA,0.05105796102478422,-0.3008381774231119,0.07335342328461786,0.035379149514215356,-0.10681920298969025,0.06986554275389512,-0.04868012874937733
VT,0.1531223637183443,-0.09091857194517043,-0.13574074009508744,-0.1741960408383891,-0.031841637222386525,0.09739176237122864,0.011881465464470229
WA,-0.08734618151218466,0.035408599593193694,0.12048110187166686,-0.07162611427104715,0.42258254848604393,0.0178443171097746,0.10827269143315489
WI,0.19728915183519774,0.006266292849589429,-0.013728757617620442,0.03451603135674273,0.2324777617870825,-0.034870358180663245,-0.009543211318717779
WV,0.13552847084646924,0.18143091752047288,0.03374620366202918,0.07504353330305993,0.05846514612414774,0.1558328421876813,5.069829822368682e-05
WY,0.16444965918703705,0.09037686999944132,0.07303646404709456,-0.09710568833589495,0.021400556843375346,0.12044840486704052,0.06290133570864344
NAT,0.22598031408364627,-0.08040437709677847,0.12249004457225834,-0.11983046590994906,-0.2650762026355114,-0.05677703849838836,0.004568449976860612
