abbr,year,rel_margin_change
CO,2068,0.01799584451219151
CO,2072,0.0821430451689512
CO,2076,-0.0107957425558633
CO,2080,0.0402038182115546
CO,2084,0.0776896665939808
CO,2088,0.0245596192337776
CO,2092,-0.0601651173364257
CO,2096,-0.010085683883314406
CO,2100,0.0230946061207212
CT,1980,0.0665794925226852
CT,1984,-0.029290948971172903
CT,1988,0.0627773103827766
CT,1992,-0.013231165032653
CT,1996,0.1023132327882152
CT,2000,0.0705015063762205
CT,2004,-0.0485526931240845
CT,2008,0.02160774097757151
CT,2012,-0.014735421899455398
CT,2016,-0.013951997060969182
CT,2020,0.0401464320729704
CT,2024,0.004740062185934812
CT,2028,-0.1132098144468656
CT,2032,-0.019109845939899
CT,2036,-0.0386993695949422
CT,2040,0.0399363301293737
CT,2044,-0.014896517143186901
