rank,E_EV,E_VAR,E_SHOCK,E_RESID,E_TOTAL,evd,shock_frac,n_avail
145,0.01193327927357755,0.3762741065896686,0.0,2.8871202970594254,3.2753276829226716,0.0004384851435977532,0.06968325791855204,56.0
181,0.618735113910466,0.346925322631276,0.0,2.3225533444949,3.288213781036642,0.001994027164526329,0.05429864253393665,56.0
87,0.08176520225373571,0.6961827652004295,0.0,2.523289066950585,3.3012370344047506,0.001124690509193632,0.1085972850678733,56.0
39,0.5729592076383079,0.9926460484316832,0.0,1.7501861909628873,3.315791447032878,-0.0006861911651812446,0.16289592760180996,56.0
61,0.2976443027010798,0.8418233156811025,0.0,2.1781443924211303,3.3176120108033125,0.0015755008888004175,0.12669683257918551,56.0
30,0.04519613355781252,0.8794618591402543,0.0,2.4065883436829405,3.331246336381007,0.0002590194994407385,0.21447963800904976,56.0
33,0.20302002255333723,0.8868486433955287,0.0,2.256819035897328,3.346687701846194,0.001410558309253,0.24796380090497736,56.0
45,0.029542767038267706,0.9013452359406501,0.0,2.4435747642310726,3.3744627672099905,0.000926624788831933,0.1601809954751131,56.0
49,0.0046769578349126675,1.2548149552535022,0.0,2.115927728101979,3.3754196411903936,0.0007469203277488015,0.281447963800905,56.0
205,1.0692857847594373,0.31676258342480207,0.0,2.0201843508383273,3.4062327190225665,-0.0011673893665419956,0.05158371040723982,56.0
102,0.039938223864051554,0.47681629053666236,0.0,2.8934616024961564,3.41021611689687,0.0002811558458832705,0.10588235294117647,56.0
98,0.31965002503968476,0.6662947489038638,0.0,2.424461862989096,3.4104066369326445,-0.0003535558628885429,0.1085972850678733,56.0
117,0.2893234522456615,1.2419957672935926,0.0,1.883683910704505,3.4150031302437593,0.0015621653860633134,0.3384615384615384,56.0
40,0.2839287030337844,0.988788722826571,0.0,2.1511308539939678,3.4238482798543233,0.0015534167347449562,0.1936651583710407,56.0
38,0.045107998871763144,0.8801762731949908,0.0,2.5023824039322085,3.4276666759989625,0.0009969605056237667,0.23529411764705882,56.0
329,0.19704157209343665,0.36680278314253306,0.0,2.867600675213887,3.431445030449857,0.0013989525056774072,0.015384615384615384,56.0
72,0.006345047529532891,1.3071873578303075,0.0,2.1240323580864016,3.437564763446242,0.0007664853884080582,0.29954751131221713,56.0
73,0.0009566022994019913,1.409494949489892,0.0,2.027124810182882,3.4375763619721758,0.0005744645766168465,0.29954751131221713,56.0
113,0.6598289063549628,1.0709186569097853,0.0,1.7228448506976008,3.4535924139623493,0.00203865532359279,0.3330316742081448,56.0
135,0.09679655822159146,0.5360351475193121,0.0,2.8322943322475886,3.465126037988492,8.793489892128335e-05,0.09049773755656108,56.0
41,0.04808128101905444,1.013814101138457,0.0,2.405219967783218,3.4671153499407295,0.0002474191890846993,0.20904977375565612,56.0
137,0.6982260596341892,0.48601479743675124,0.0,2.2839686546632114,3.468209511734152,0.0020791149297642334,0.08778280542986425,56.0
138,0.728079924868247,0.5750917814099655,0.0,2.1668386892178217,3.4700103954960344,0.002109809099519485,0.08778280542986425,56.0
44,4.10329011486967e-06,1.1506424911124236,0.0,2.322062962746151,3.4727095571486895,0.0006246526781608615,0.24524886877828056,56.0
74,0.31018987385187935,0.8521726013194846,0.0,2.315013432011796,3.47737590718316,-0.0003389195013498592,0.13936651583710408,56.0
60,0.43385635551556867,0.9423677285138762,0.0,2.112501599868512,3.488725683897957,0.0017719062570400773,0.281447963800905,56.0
178,0.38991260031585273,0.5495771990116418,0.0,2.55150362331368,3.4909934226411745,0.001712437756129401,0.06968325791855204,56.0
53,0.004899395397704053,1.0935007987056276,0.0,2.392793325162283,3.4911935192656145,0.0005066286848947011,0.2687782805429864,56.0
46,0.02688489777440359,1.034755757522078,0.0,2.4416735655243684,3.50331422082085,0.00034345719814096905,0.2398190045248869,56.0
140,1.0850944970757812,0.45044087459179527,0.0,1.9781862672331711,3.5137216389007477,0.002436953882624503,0.09049773755656108,56.0
47,0.027415984439407085,1.1641970436571234,0.0,2.3303823200632467,3.521995348159777,0.0009156812827946408,0.19638009049773755,56.0
48,0.17274994845370314,0.8829197532051984,0.0,2.4707443581253736,3.5264140597842752,0.001349878603273168,0.24253393665158368,56.0
96,0.16123533869138,0.5625860184567654,0.0,2.8061655551064115,3.529986912254557,-6.907108169451094e-05,0.12398190045248868,56.0
56,0.6134240360698404,0.6861641178498487,0.0,2.2332851461684076,3.5328733000880965,-0.0007318123195784361,0.16289592760180996,56.0
123,0.05347147701988888,0.6019518261143688,0.0,2.8793627511637783,3.534786054298036,0.00022664377515930166,0.10316742081447965,56.0
